Timestamp,temperature_2m_max,precipitation_sum,windspeed_10m_max,shortwave_radiation_sum,3_day_rainfall,7_day_rainfall
2021-01-01,25.1,0.0,9.8,16.04,0.0,0.0
2021-01-02,25.9,0.0,6.9,16.17,0.0,0.0
2021-01-03,26.8,0.0,9.9,16.4,0.0,0.0
2021-01-04,27.2,0.0,9.8,14.82,0.0,0.0
2021-01-05,28.5,0.0,7.9,16.13,0.0,0.0
2021-01-06,29.5,0.0,6.9,15.75,0.0,0.0
2021-01-07,29.3,0.0,6.6,13.5,0.0,0.0
2021-01-08,27.5,0.0,12.0,13.19,0.0,0.0
2021-01-09,29.7,0.0,6.4,15.61,0.0,0.0
2021-01-10,30.0,0.0,11.0,15.97,0.0,0.0
2021-01-11,28.6,0.0,12.7,13.86,0.0,0.0
2021-01-12,28.0,0.0,13.7,15.38,0.0,0.0
2021-01-13,27.1,0.0,13.7,16.85,0.0,0.0
2021-01-14,25.6,0.0,9.2,17.21,0.0,0.0
2021-01-15,25.2,0.0,14.1,17.58,0.0,0.0
2021-01-16,25.1,0.0,8.7,17.65,0.0,0.0
2021-01-17,24.4,0.0,8.7,17.34,0.0,0.0
2021-01-18,25.9,0.0,8.0,17.28,0.0,0.0
2021-01-19,28.1,0.0,14.9,16.83,0.0,0.0
2021-01-20,27.6,0.0,20.5,14.38,0.0,0.0
2021-01-21,26.5,0.0,10.7,18.28,0.0,0.0
2021-01-22,26.8,0.0,12.4,18.18,0.0,0.0
2021-01-23,27.4,0.0,10.1,18.12,0.0,0.0
2021-01-24,28.8,0.0,11.1,17.95,0.0,0.0
2021-01-25,28.8,0.0,11.8,15.77,0.0,0.0
2021-01-26,27.3,0.0,15.4,14.85,0.0,0.0
2021-01-27,27.2,0.0,12.0,16.65,0.0,0.0
2021-01-28,26.9,0.0,12.2,17.91,0.0,0.0
2021-01-29,26.1,0.6,9.2,15.53,0.6,0.6
2021-01-30,24.5,0.2,14.8,12.67,0.8,0.8
2021-01-31,24.2,0.0,11.5,19.29,0.8,0.8
2021-02-01,24.8,0.0,11.9,19.41,0.2,0.8
2021-02-02,26.1,0.0,13.0,19.5,0.0,0.8
2021-02-03,26.3,0.0,13.2,19.62,0.0,0.8
2021-02-04,26.2,0.0,11.7,19.83,0.0,0.8
2021-02-05,27.1,0.0,9.9,19.5,0.0,0.2
2021-02-06,26.5,0.2,12.9,17.17,0.2,0.2
2021-02-07,24.9,0.1,14.4,18.48,0.30000000000000004,0.30000000000000004
2021-02-08,25.9,0.0,12.2,20.15,0.30000000000000004,0.30000000000000004
2021-02-09,28.3,0.0,7.6,20.1,0.1,0.30000000000000004
2021-02-10,29.0,0.0,8.2,20.3,0.0,0.30000000000000004
2021-02-11,28.7,0.0,8.4,20.05,0.0,0.30000000000000004
2021-02-12,29.3,0.0,9.5,19.93,0.0,0.30000000000000004
2021-02-13,29.1,0.0,8.2,20.01,0.0,0.1
2021-02-14,29.8,0.0,14.1,20.36,0.0,0.0
2021-02-15,29.6,0.0,15.3,20.38,0.0,0.0
2021-02-16,30.7,0.0,15.4,18.75,0.0,0.0
2021-02-17,27.9,3.7,12.4,16.78,3.7,3.7
2021-02-18,28.5,0.7,14.8,17.55,4.4,4.4
2021-02-19,25.4,1.3,10.3,13.09,5.7,5.7
2021-02-20,24.0,0.3,8.7,11.18,2.3,6.0
2021-02-21,27.0,0.0,7.5,16.79,1.6,6.0
2021-02-22,29.8,0.0,11.9,21.1,0.3,6.0
